<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.21	16:00:00	1.22892	1.22940	1.22570	1.22779	26379	0	1
2018.03.21	20:00:00	1.22779	1.23498	1.22509	1.23385	54315	0	1
2018.03.22	00:00:00	1.23385	1.23690	1.23383	1.23642	11544	0	1
2018.03.22	04:00:00	1.23642	1.23651	1.23450	1.23456	7691	0	1
2018.03.22	08:00:00	1.23456	1.23885	1.23295	1.23342	29824	0	1
2018.03.22	12:00:00	1.23341	1.23355	1.23039	1.23215	42819	0	1
2018.03.22	16:00:00	1.23216	1.23256	1.22850	1.23025	42151	0	1
2018.03.22	20:00:00	1.23026	1.23226	1.22996	1.23056	16508	0	1
2018.03.23	00:00:00	1.23056	1.23409	1.23056	1.23293	13776	0	1
2018.03.23	04:00:00	1.23294	1.23413	1.23269	1.23319	8703	0	1
2018.03.23	08:00:00	1.23318	1.23487	1.23167	1.23241	27902	0	1
2018.03.23	12:00:00	1.23242	1.23598	1.23227	1.23365	29019	0	1
2018.03.23	16:00:00	1.23363	1.23683	1.23349	1.23617	31881	0	1
2018.03.23	20:00:00	1.23617	1.23733	1.23507	1.23514	13857	0	1
2018.03.26	00:00:00	1.23497	1.23818	1.23485	1.23693	7158	0	1
2018.03.26	04:00:00	1.23692	1.23811	1.23640	1.23733	7708	0	1
2018.03.26	08:00:00	1.23734	1.23986	1.23590	1.23922	22247	0	1
2018.03.26	12:00:00	1.23921	1.24170	1.23918	1.24004	25607	0	1
2018.03.26	16:00:00	1.24004	1.24502	1.23981	1.24442	34124	0	1
2018.03.26	20:00:00	1.24442	1.24615	1.24405	1.24431	14350	0	1
2018.03.27	00:00:00	1.24422	1.24577	1.24422	1.24495	8984	0	1
2018.03.27	04:00:00	1.24496	1.24551	1.24422	1.24496	9152	0	1
2018.03.27	08:00:00	1.24497	1.24763	1.24261	1.24302	26541	0	1
2018.03.27	12:00:00	1.24301	1.24306	1.23719	1.23869	30282	0	1
2018.03.27	16:00:00	1.23866	1.24160	1.23774	1.24136	33477	0	1
2018.03.27	20:00:00	1.24134	1.24150	1.23946	1.24020	16274	0	1
2018.03.28	00:00:00	1.24017	1.24158	1.24012	1.24127	10680	0	1
2018.03.28	04:00:00	1.24128	1.24216	1.24070	1.24082	7502	0	1
2018.03.28	08:00:00	1.24084	1.24104	1.23765	1.23975	25528	0	1
2018.03.28	12:00:00	1.23973	1.24087	1.23773	1.23830	26906	0	1
2018.03.28	16:00:00	1.23828	1.23839	1.23347	1.23460	35699	0	1
2018.03.28	20:00:00	1.23456	1.23509	1.23000	1.23073	16993	0	1
2018.03.29	00:00:00	1.23079	1.23144	1.23014	1.23123	8252	0	1
2018.03.29	04:00:00	1.23121	1.23311	1.23120	1.23301	9387	0	1
2018.03.29	08:00:00	1.23301	1.23351	1.22954	1.23069	24413	0	1
2018.03.29	12:00:00	1.23069	1.23350	1.22974	1.23188	25354	0	1
2018.03.29	16:00:00	1.23187	1.23358	1.22839	1.22905	34909	0	1
2018.03.29	20:00:00	1.22905	1.23102	1.22857	1.23001	13382	0	1
2018.03.30	00:00:00	1.22999	1.23084	1.22866	1.22997	12298	0	1
2018.03.30	04:00:00	1.22998	1.23180	1.22990	1.23115	11729	0	1
2018.03.30	08:00:00	1.23114	1.23304	1.23050	1.23278	8630	0	1
2018.03.30	12:00:00	1.23277	1.23301	1.23225	1.23274	2280	0	1
2018.03.30	16:00:00	1.23273	1.23286	1.23092	1.23256	11723	0	1
2018.03.30	20:00:00	1.23255	1.23271	1.23145	1.23218	8075	0	6
2018.04.02	00:00:00	1.23192	1.23225	1.23107	1.23217	6296	0	1
2018.04.02	04:00:00	1.23217	1.23281	1.23148	1.23168	5808	0	1
